ID,MSRP,Make,Model,Year,FrontWheelSize,Horsepower,Displacement,EngineType,Width,Height,Length,GasMileage,Drivetrain,PassangerCapacity,NumDoors,BodyStyle
Cvl,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
gQW,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
kMx,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
RuR,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
SLr,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
yAs,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
ylA,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
YSc,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
BFO,28000,Acura,ILX,2014,16,110,15,4,70,55,179,39,FWD,5,4,4dr
cBM,28000,Acura,ILX,2014,16,110,15,4,70,55,179,39,FWD,5,4,4dr
NIH,28000,Acura,ILX,2014,16,110,15,4,70,55,179,39,FWD,5,4,4dr
xkb,28000,Acura,ILX,2014,16,110,15,4,70,55,179,39,FWD,5,4,4dr
YVt,28000,Acura,ILX,2014,16,110,15,4,70,55,179,39,FWD,5,4,4dr
hff,27000,Acura,ILX,2015,17,150,20,4,70,55,179,24,FWD,5,4,4dr
aIR,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
bXG,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
DLO,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
eoU,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
Gim,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
KOH,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
nip,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
NRr,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
NsG,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
qbk,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
URz,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
