ID,MSRP,Make,Model,Year,FrontWheelSize,Horsepower,Displacement,EngineType,Width,Height,Length,GasMileage,Drivetrain,PassangerCapacity,NumDoors,BodyStyle
Cvl,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
RuR,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
yAs,28000,Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr
eoU,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
NRr,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
Vim,27000,Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr
lTU,27000,Acura,ILX,2017,17,200,24,4,70,55,181,25,FWD,5,4,4dr
agK,25000,Acura,ILX,2019,17,200,24,4,70,55,182,24,FWD,5,4,4dr
EzT,25000,Acura,ILX,2019,17,200,24,4,70,55,182,24,FWD,5,4,4dr
giX,25000,Acura,ILX,2019,17,200,24,4,70,55,182,24,FWD,5,4,4dr
lbR,25000,Acura,ILX,2019,17,200,24,4,70,55,182,24,FWD,5,4,4dr
mGy,25000,Acura,ILX,2019,17,200,24,4,70,55,182,24,FWD,5,4,4dr
pEn,25000,Acura,ILX,2019,17,200,24,4,70,55,182,24,FWD,5,4,4dr
AWZ,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
bmG,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
BqQ,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
bwH,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
cAL,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
CeP,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
cfN,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
Eyo,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
giG,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
Hfd,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
hYt,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
IEs,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
ivy,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
OKw,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
Ovh,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
rkH,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
tiM,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
uyd,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
wAp,42000,Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV
EJM,43000,Acura,MDX,2012,18,300,37,6,78,68,191,16,AWD,7,4,SUV
PNR,43000,Acura,MDX,2012,18,300,37,6,78,68,191,16,AWD,7,4,SUV
SvO,43000,Acura,MDX,2012,18,300,37,6,78,68,191,16,AWD,7,4,SUV
usV,43000,Acura,MDX,2012,18,300,37,6,78,68,191,16,AWD,7,4,SUV
AYB,42000,Acura,MDX,2014,18,290,35,6,77,67,193,20,FWD,7,4,SUV
CUI,42000,Acura,MDX,2014,18,290,35,6,77,67,193,20,FWD,7,4,SUV
gGv,42000,Acura,MDX,2014,18,290,35,6,77,67,193,20,FWD,7,4,SUV
ixd,42000,Acura,MDX,2014,18,290,35,6,77,67,193,20,FWD,7,4,SUV
oNV,42000,Acura,MDX,2014,18,290,35,6,77,67,193,20,FWD,7,4,SUV
CgX,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
iDS,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
IJg,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
Jss,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
kAw,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
LjN,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
qkJ,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
uTE,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
vdo,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
Vnw,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
WIP,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
yJj,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
yPL,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
zfl,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
ZRn,44000,Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV
bcI,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
Dfr,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
dTF,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
JkX,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
LIp,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
Nhy,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
pEO,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
Qcy,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
ueu,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
uus,44000,Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV
Ywe,84000,Acura,NSX,2001,16,250,30,6,71,46,174,17,RWD,2,2,2dr
SsZ,89000,Acura,NSX,2002,17,250,30,6,71,46,174,17,RWD,2,2,2dr
Fes,89000,Acura,NSX,2003,17,250,30,6,71,46,174,17,RWD,2,2,2dr
NQY,89000,Acura,NSX,2003,17,250,30,6,71,46,174,17,RWD,2,2,2dr
Teq,89000,Acura,NSX,2003,17,250,30,6,71,46,174,17,RWD,2,2,2dr
UlE,89000,Acura,NSX,2003,17,250,30,6,71,46,174,17,RWD,2,2,2dr
mwJ,89000,Acura,NSX,2004,17,250,30,6,71,46,174,17,RWD,2,2,Convertible
Ort,89000,Acura,NSX,2004,17,250,30,6,71,46,174,17,RWD,2,2,Convertible
BqG,89000,Acura,NSX,2005,17,250,30,6,71,46,174,17,RWD,2,2,Convertible
oZL,89000,Acura,NSX,2005,17,250,30,6,71,46,174,17,RWD,2,2,Convertible
SmI,157000,Acura,NSX,2019,19,570,35,6,76,47,176,21,AWD,2,2,2dr
BgF,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
bLj,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
CaN,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
CWp,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
Gcy,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
hSj,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
jVC,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
jYb,34000,Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV
